iter	Passed	Remaining
706	28061	1190
707	28100	1151
708	28138	1111
709	28188	1071
710	28242	1032
711	28301	993
712	28340	953
713	28381	914
714	28421	874
715	28462	834
716	28502	795
717	28541	755
718	28582	715
719	28621	675
720	28661	636
721	28699	596
722	28742	556
723	28782	516
724	28821	477
725	28861	437
726	28900	397
727	28938	357
728	28967	317
729	29006	278
730	29045	238
731	29084	198
732	29127	158
733	29170	119
734	29208	79
735	29247	39
736	29295	0
